date,Total,sympinfect,Scenario,hosp,Total.Fraser,Total.Coastal,Total.Island,Total.Interior,Total.Northern
2022-12-05,25903.826622426255,14595.107480760478,worst case,183.0605827824154,8819.014339163065,5471.256730562811,3314.92136350237,5724.927359045628,2573.7068301523823
2022-12-06,24231.38402301693,13652.795757879774,worst case,171.24154456151592,8033.878728370525,5149.746970479168,3122.038035198013,5565.475396717146,2360.244892252078
2022-12-07,22681.43724345277,12779.502395978841,worst case,160.28817597684898,7327.961155935717,4807.477124347308,3000.1051160888883,5433.15617995072,2112.737667130137
2022-12-08,21245.830881650552,11970.632360830175,worst case,150.14284335598688,6778.966131961931,4426.116044974235,2828.3491183366627,5262.665218618288,1949.7343677594351
2022-12-09,19916.671462926693,11221.73819711828,worst case,140.74976404963937,6345.085465891162,4039.4863498450504,2593.37786365667,5040.6157453366895,1898.1060381971217
2022-12-10,18686.39551988297,10528.558386990473,worst case,132.05548754758044,6006.396332048188,3702.7914510546725,2456.692107646483,4703.113616111631,1817.4020130219974
2022-12-11,17547.81673110799,9887.043909623711,worst case,124.0092286046489,5650.599838578937,3465.0580644013908,2322.727718106133,4430.386562853469,1679.0445471680578
2022-12-12,16494.15189335044,9293.372874840934,worst case,116.56305078433235,5272.1766611428175,3255.130931349259,2183.2364542795012,4191.377266476175,1592.23058010269
2022-12-13,15519.030181572045,8743.955740543584,worst case,109.67193189893193,4929.23809879505,2987.971259911967,2102.858545561285,3877.816136377114,1621.1461409266285
2022-12-14,14616.495152826092,8235.436441765765,worst case,103.29377817083602,4581.59689476558,2760.3887363136696,1996.5264963162765,3712.5687683826477,1565.4142570479187
2022-12-15,13780.999232169172,7764.689283847112,worst case,97.38938526483297,4301.313868932915,2573.326550344222,1855.7991836704348,3585.746959251242,1464.8126699703573
2022-12-16,13007.387639996885,7328.809886540553,worst case,91.92232470368462,4099.442623505768,2382.581266433277,1716.2076453506145,3398.6739913241877,1410.4821133830387
2022-12-17,12290.88511975223,6925.107705946395,worst case,86.85885007374323,3869.23704765306,2174.425403638097,1604.9662511493611,3254.192877773829,1388.0635395378843
