date,CAN,AB,BC,MB,NB,NL,North,NS,ON,PEI,QC,SK
9 Jul 2022,33426.30430690723,845.410636140116,3100.6255269814565,499.50978132857796,1682.7133968422665,1377.96188662588,160.70723558268674,1651.7503734439154,11249.99250086903,244.73201482408842,12128.118145353557,484.7828089156563
8 Jul 2022,32287.172850986153,855.3711219251041,2986.6306805777313,493.1568633677409,1525.5285699871358,1186.5919472581545,158.94540952077054,1634.9351940933043,10949.473070530059,233.84898211213408,11772.196573259851,490.49443835417065
7 Jul 2022,31184.41447993125,864.6578537598691,2874.1971606814145,486.43968251369427,1381.762393385031,1020.8652431027717,157.10002871121867,1616.8119172885517,10647.239827995132,223.24565345576067,11416.275001166143,495.81971787165895
6 Jul 2022,30113.381670950515,873.1958518389077,2763.3077604833466,479.3476226608707,1250.3282922320786,877.4312659962366,155.16471689460553,1597.3354398120332,10343.285684995664,212.91595507631413,11060.353429072433,500.7156518880213
5 Jul 2022,29069.931903867055,880.9049919048764,2653.945444987725,471.8698108731474,1130.2246686230735,753.3691420382918,153.13284438301977,1576.4593872600499,10037.603527413545,202.85393455830177,10704.431856978727,505.13629484629723
4 Jul 2022,28050.36635230024,887.6997039043794,2546.093349390938,463.99511169979803,1020.5284176767993,646.133332912388,150.9975182555891,1554.136081427036,9730.186215193007,193.0537585420653,10348.510284885018,509.03257841321704
3 Jul 2022,27051.37581740605,893.4886543429101,2439.734777475154,455.71212137207453,920.3889293763473,553.506120900738,148.7515722065762,1530.3165068973512,9421.02658225232,183.50971045889108,9992.58871279131,512.3521293323746
2 Jul 2022,26262.154172031544,904.7948284212162,2352.0633336380306,450.3040531396355,835.1332407862462,477.04660552017947,147.4665743637827,1516.0432206384335,9177.267841562696,175.50033065977922,9707.698728103744,518.8354151978036
1 Jul 2022,25487.818159762024,915.4549687619711,2265.5894605060726,444.5769486584787,757.1221700357022,410.7948601997646,146.10041068125827,1500.6095697259416,8932.116806697424,167.69597436866604,9422.808743416177,524.9482467105714
30 Jun 2022,24726.255726873642,925.3940286434438,2180.299973814192,438.5214641067968,685.7707959951366,353.4207322005066,144.6471756909502,1483.9752941251381,8685.56771636224,160.09219728774158,9137.91875872861,530.647589918885
29 Jun 2022,23975.56110294083,934.5317614525029,2096.181820872033,432.12802915074616,620.5398499221612,303.7642848349859,143.1007251997383,1466.0989962807935,8437.61478824756,152.68464383580883,8853.028774041044,535.8874291034517
