"Result","2.5%","50%","97.5%","date","day"
"AB","  653.000"," 1546.0","  3018.000","2021-11-30","  1"
"AB","  625.000"," 1478.0","  2887.000","2021-12-01","  2"
"AB","  603.000"," 1421.0","  2786.000","2021-12-02","  3"
"AB","  581.000"," 1376.0","  2679.000","2021-12-03","  4"
"AB","  562.000"," 1328.0","  2595.000","2021-12-04","  5"
"AB","  547.000"," 1297.0","  2531.000","2021-12-05","  6"
"AB","  535.000"," 1269.0","  2473.000","2021-12-06","  7"
"AB","  531.000"," 1250.0","  2445.000","2021-12-07","  8"
"AB","  527.000"," 1244.0","  2429.000","2021-12-08","  9"
"AB","  529.000"," 1250.0","  2438.000","2021-12-09"," 10"
"AB","  537.000"," 1266.0","  2470.000","2021-12-10"," 11"
"AB","  553.000"," 1301.0","  2538.000","2021-12-11"," 12"
"AB","  577.000"," 1362.0","  2662.000","2021-12-12"," 13"
"AB","  608.000"," 1445.0","  2815.000","2021-12-13"," 14"
"AB","  658.000"," 1553.0","  3034.000","2021-12-14"," 15"
"AB","  731.000"," 1716.0","  3344.000","2021-12-15"," 16"
"AB","  809.000"," 1913.0","  3732.000","2021-12-16"," 17"
"AB","  925.000"," 2181.0","  4257.000","2021-12-17"," 18"
"AB"," 1064.000"," 2517.0","  4889.000","2021-12-18"," 19"
"AB"," 1249.000"," 2941.0","  5754.025","2021-12-19"," 20"
"AB"," 1478.000"," 3492.0","  6806.000","2021-12-20"," 21"
"AB"," 1773.000"," 4170.0","  8142.050","2021-12-21"," 22"
"AB"," 2117.000"," 5034.0","  9804.000","2021-12-22"," 23"
"AB"," 2582.975"," 6098.0"," 11889.025","2021-12-23"," 24"
"AB"," 3144.000"," 7426.5"," 14595.025","2021-12-24"," 25"
"AB"," 3834.975"," 9127.0"," 17939.025","2021-12-25"," 26"
"AB"," 4745.975","11175.0"," 21816.050","2021-12-26"," 27"
"AB"," 5833.000","13710.0"," 26737.025","2021-12-27"," 28"
"AB"," 7150.000","16822.5"," 32805.225","2021-12-28"," 29"
"AB"," 8661.000","20468.0"," 39716.100","2021-12-29"," 30"
